                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7609,                 1.7741,                   2.22,                0.43455,                0.32509,                0.35806,                0.18631,                  2.087,                 2.0294,                 2.5361,              0.0014855,              0.0014855,              0.0014855
                     36,                 1.7803,                 1.7375,                  2.256,                0.43329,                0.60539,                0.48946,                0.25688,                 1.5772,                 1.7057,                  2.061,                0.00148,                0.00148,                0.00148
                     37,                 1.6871,                 1.6756,                 2.1596,                0.52374,                0.33023,                0.40068,                 0.2383,                 1.6724,                 2.4172,                  2.177,              0.0014745,              0.0014745,              0.0014745
                     38,                 1.5995,                  1.702,                 2.1247,                0.40093,                0.59642,                0.44198,                0.24274,                 1.8506,                 1.7606,                 2.1962,               0.001469,               0.001469,               0.001469
                     39,                 1.5478,                 1.6347,                 2.1006,                0.39254,                0.72824,                 0.4443,                0.26243,                 1.4066,                 1.6646,                  1.919,              0.0014635,              0.0014635,              0.0014635
                     40,                 1.5235,                 1.6242,                 2.0812,                0.47102,                0.85982,                0.54403,                0.34169,                 1.2772,                 1.5149,                 1.7934,               0.001458,               0.001458,               0.001458
                     41,                 1.5832,                 1.5911,                 2.0412,                0.43024,                0.80073,                0.50157,                0.21519,                 1.8444,                 1.6683,                 2.0264,              0.0014525,              0.0014525,              0.0014525
                     42,                 1.5421,                 1.6391,                 2.1199,                0.48105,                0.72186,                0.51326,                 0.3554,                 1.2248,                 1.6084,                 1.7823,               0.001447,               0.001447,               0.001447
                     43,                 1.4693,                 1.5303,                 2.0414,                0.50966,                0.84753,                0.56173,                0.38755,                 1.2535,                 1.5062,                 1.7747,              0.0014415,              0.0014415,              0.0014415
                     44,                 1.4704,                  1.508,                 1.9946,                0.39351,                0.78662,                 0.5149,                0.31118,                 1.2992,                 1.4907,                 1.8259,               0.001436,               0.001436,               0.001436
                     45,                 1.4225,                 1.4951,                 1.9744,                0.48633,                 0.8371,                0.54554,                 0.2738,                  1.619,                 1.4662,                 1.9884,              0.0014305,              0.0014305,              0.0014305
                     46,                 1.4922,                 1.4991,                  1.997,                0.43615,                0.67653,                0.46475,                0.24392,                 1.6942,                 1.8249,                  2.095,               0.001425,               0.001425,               0.001425
                     47,                 1.4273,                 1.4705,                 1.9491,                0.46664,                0.86765,                0.57438,                0.39515,                 1.2272,                 1.2958,                 1.7487,              0.0014195,              0.0014195,              0.0014195
                     48,                 1.4188,                 1.4327,                 1.9441,                0.40761,                0.74723,                0.49024,                0.30209,                 1.4467,                 1.7153,                 1.8918,              0.0014139,              0.0014139,              0.0014139
                     49,                 1.3319,                 1.4474,                 1.8767,                0.46758,                0.68497,                0.52846,                0.32658,                  1.411,                 1.6247,                 1.8533,              0.0014084,              0.0014084,              0.0014084
                     50,                 1.3457,                 1.4021,                  1.918,                0.49314,                0.88388,                0.58043,                0.36246,                 1.4524,                 1.3088,                 1.8358,              0.0014029,              0.0014029,              0.0014029
                     51,                 1.3745,                  1.396,                 1.8975,                0.50118,                0.88843,                0.60527,                0.38837,                 1.2886,                 1.2464,                 1.7101,              0.0013974,              0.0013974,              0.0013974
                     52,                 1.3325,                 1.3793,                 1.8235,                0.50238,                0.86866,                 0.6222,                0.37868,                 1.3611,                 1.4022,                 1.8134,              0.0013919,              0.0013919,              0.0013919
                     53,                 1.3366,                 1.3491,                 1.8462,                 0.5328,                0.83762,                0.63276,                0.42862,                 1.1144,                  1.267,                 1.6427,              0.0013864,              0.0013864,              0.0013864
                     54,                 1.2898,                 1.3143,                 1.7807,                 0.4619,                0.75014,                0.55751,                0.37908,                 1.2725,                 1.3966,                 1.7441,              0.0013809,              0.0013809,              0.0013809
                     55,                 1.2149,                 1.2743,                 1.7497,                0.46614,                0.73288,                0.58153,                0.40033,                 1.1726,                 1.3855,                 1.6659,              0.0013754,              0.0013754,              0.0013754
                     56,                 1.2177,                 1.2563,                 1.7335,                0.47729,                0.79344,                  0.582,                0.37374,                 1.2974,                  1.311,                 1.7851,              0.0013699,              0.0013699,              0.0013699
                     57,                 1.1585,                 1.2634,                 1.7265,                0.49917,                0.89381,                0.59424,                0.45726,                0.90284,                 1.2172,                 1.4182,              0.0013644,              0.0013644,              0.0013644
                     58,                 1.1832,                 1.2194,                 1.7094,                0.52547,                 0.9434,                0.64604,                0.49283,                0.97523,                 1.1215,                 1.4286,              0.0013589,              0.0013589,              0.0013589
                     59,                  1.161,                 1.2295,                 1.6856,                 0.5415,                0.91094,                0.65761,                0.51303,                 0.8658,                 1.0629,                 1.4007,              0.0013534,              0.0013534,              0.0013534
                     60,                 1.1678,                 1.2296,                 1.7013,                0.45286,                0.53194,                0.49089,                0.30746,                 1.3078,                 1.7359,                 1.7717,              0.0013479,              0.0013479,              0.0013479
                     61,                 1.1113,                 1.2038,                 1.6458,                0.58897,                0.48925,                0.56611,                0.36944,                 1.3924,                 1.5995,                 1.8014,              0.0013424,              0.0013424,              0.0013424
                     62,                  1.134,                 1.2332,                 1.6829,                 0.5525,                0.79999,                0.67613,                0.47084,                 1.1047,                 1.1434,                 1.5695,              0.0013369,              0.0013369,              0.0013369
                     63,                 1.0906,                 1.2064,                  1.662,                0.54191,                0.90568,                0.66605,                0.48657,                 1.0255,                 1.0622,                 1.5032,              0.0013314,              0.0013314,              0.0013314
                     64,                 1.0893,                 1.1632,                 1.6453,                0.54999,                0.88474,                0.65908,                0.49636,                0.90625,                  1.019,                 1.3848,              0.0013259,              0.0013259,              0.0013259
                     65,                 1.0141,                 1.1409,                 1.5442,                0.51668,                0.88534,                0.69216,                0.50834,                0.98085,                 1.0976,                 1.4333,              0.0013204,              0.0013204,              0.0013204
                     66,                 1.0714,                 1.1732,                 1.5746,                0.54941,                0.89252,                0.67214,                0.47041,                 1.1312,                 1.0746,                 1.4946,              0.0013149,              0.0013149,              0.0013149
                     67,                 1.1017,                 1.1627,                 1.6027,                0.51948,                0.94271,                0.68974,                  0.489,                 1.0863,                 1.1015,                 1.4818,              0.0013094,              0.0013094,              0.0013094
                     68,                 1.0702,                  1.146,                 1.6032,                0.51525,                0.89282,                0.67407,                0.48221,                 0.9886,                 1.1366,                 1.4176,              0.0013039,              0.0013039,              0.0013039
                     69,                  1.022,                 1.1458,                 1.5979,                0.54054,                0.93236,                0.66432,                0.47926,                 1.0442,                 1.0742,                 1.4059,              0.0012984,              0.0012984,              0.0012984
                     70,                 1.0607,                 1.1545,                 1.5768,                0.54413,                0.92735,                0.72811,                0.54109,                0.93859,                 1.0009,                 1.3695,              0.0012929,              0.0012929,              0.0012929
                     71,                  1.018,                 1.0818,                 1.5298,                0.56047,                0.95355,                0.72075,                0.52742,                0.97523,                  1.007,                 1.3672,              0.0012874,              0.0012874,              0.0012874
                     72,                 1.0491,                 1.0637,                 1.5414,                0.54266,                0.93845,                0.69464,                0.52626,                0.80806,                 1.0051,                 1.2808,              0.0012819,              0.0012819,              0.0012819
                     73,                  1.041,                 1.1221,                 1.5719,                0.56304,                0.89108,                0.72933,                0.52696,                0.95575,                0.99633,                 1.3948,              0.0012764,              0.0012764,              0.0012764
                     74,                 1.0677,                 1.0756,                 1.5349,                0.61988,                0.60306,                 0.6253,                0.41618,                 1.4142,                  1.718,                 1.7529,              0.0012709,              0.0012709,              0.0012709
                     75,                0.97587,                 1.0206,                 1.5215,                0.54357,                0.84297,                0.57083,                0.44396,                0.96124,                 1.1542,                 1.3831,              0.0012654,              0.0012654,              0.0012654
                     76,                 1.0691,                 1.0633,                 1.5622,                0.54225,                0.90844,                0.68715,                0.52619,                0.94292,                 1.1106,                 1.3606,              0.0012599,              0.0012599,              0.0012599
                     77,                 1.0071,                 1.1048,                 1.5241,                0.58654,                0.90244,                0.73331,                0.55536,                0.90121,                0.98614,                 1.3265,              0.0012544,              0.0012544,              0.0012544
                     78,                0.96887,                 1.0231,                 1.4715,                0.58199,                 0.9358,                0.75956,                0.58505,                0.85051,                0.91712,                 1.3888,              0.0012489,              0.0012489,              0.0012489
                     79,                0.98991,                0.96523,                 1.4869,                0.58171,                0.93025,                0.76132,                0.54391,                0.90332,                0.90707,                 1.3085,              0.0012434,              0.0012434,              0.0012434
                     80,                 1.0832,                 1.0526,                 1.5529,                0.63235,                0.90685,                0.77893,                0.59363,                0.83385,                 0.9492,                 1.2607,              0.0012379,              0.0012379,              0.0012379
                     81,                 1.0021,                 1.0062,                 1.5258,                0.53723,                0.82328,                0.65882,                0.50279,                0.87853,                 1.1373,                 1.3091,              0.0012324,              0.0012324,              0.0012324
                     82,                0.91819,                0.96325,                 1.4534,                0.55224,                0.93374,                0.72991,                0.58982,                0.75819,                 1.0492,                 1.2213,              0.0012269,              0.0012269,              0.0012269
